,Subject,,17-107,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,00:07:16.142,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:22.455,Input,1,On1A1,,
5,0:22.455,Exit,1,,1,
6,0:22.455,Entry,2,,,
7,0:22.460,Input,34,Off1A2,,
8,0:23.470,Input,2,On1A2,,
9,0:23.470,Exit,2,,2,
10,0:23.470,Entry,1,,,
11,0:23.485,Input,33,Off1A1,,
12,1:46.020,Input,1,On1A1,,
13,1:46.020,Exit,1,,1,
14,1:46.020,Entry,2,,,
15,1:46.025,Input,34,Off1A2,,
16,1:46.540,Input,2,On1A2,,
17,1:46.540,Exit,2,,2,
18,1:46.540,Entry,1,,,
19,1:46.555,Input,33,Off1A1,,
20,2:28.445,Input,1,On1A1,,
21,2:28.445,Exit,1,,1,
22,2:28.445,Entry,2,,,
23,2:28.450,Input,34,Off1A2,,
24,2:30.450,Input,2,On1A2,,
25,2:30.450,Exit,2,,2,
26,2:30.450,Entry,1,,,
27,2:30.465,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
