,Subject,,29-159,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:48:24.771,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:07.065,Input,1,On1A1,,
5,0:07.065,Exit,1,,1,
6,0:07.065,Entry,2,,,
7,0:07.070,Input,34,Off1A2,,
8,0:11.395,Input,2,On1A2,,
9,0:11.395,Exit,2,,2,
10,0:11.395,Entry,1,,,
11,0:11.410,Input,33,Off1A1,,
12,1:01.325,Input,1,On1A1,,
13,1:01.325,Exit,1,,1,
14,1:01.325,Entry,2,,,
15,1:01.330,Input,34,Off1A2,,
16,1:01.405,Input,2,On1A2,,
17,1:01.405,Exit,2,,2,
18,1:01.405,Entry,1,,,
19,1:01.420,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
